query,title,link,summary,source,published,sentiment_score,sentiment_label
job market,"From the 'Big Stay' to a 'no-hire, no-fire' freeze, labor markets are seeing sizable shifts - CNBC",https://news.google.com/rss/articles/CBMipAFBVV95cUxNejY0VVYyRm1NclFHdHlwR19LUC1TdXIxUEh6emVPVFdhX0s0R1pXWG5ZUmVNclp6UUV1Y0lROUlReGZjU01yQWJPa0V4ZEdfLXAzQ0VxZmptb3RGQVpnVFR1ano0MzlZX0tiaU5IZ2VobEVjZXZSTVVCUkRVaWNZdEhMMG9EeVdYTTVFRUxLMFRaVUZjSEU3RnFTSFFVMElJV3RLWdIBqgFBVV95cUxNVmx2Ynd1eDZ0UU5LQjJuQm1DTnFEa2hXTmwwcUVMNnhvYllWS1h4NkJqblNCZG5uOGpsNnZpVFd1RXlrMjNuV2sxOVM3T1BGMkJCMldnNS1aLTc2aDV4UUp6WXBtNUlSNU41V0RrX1c2bTg1VTI2ZElSZkZaSXEwVVMzTGdkNGlHVldXOUxGMy1pNE1FN1hsdDZISFRWS3FBaFNiaWhfdEl0Zw?oc=5,"From the 'Big Stay' to a 'no-hire, no-fire' freeze, labor markets are seeing sizable shifts CNBC",CNBC,2025-08-25 05:14:04+00:00,0.1027,Neutral
nvidia,"Asia shares up on hopes for US rate cuts, Nvidia a hurdle - Reuters",https://news.google.com/rss/articles/CBMie0FVX3lxTE9qeWZLRTR1TkZDaV9LbmI2TmZveHd1WGVTZ0dBbm4yR29wTlo1MEpmcHRIZDk3MXh5NDZRS0ZMQlJCNWw1eVNtM2VSVXg3eHVBcVBsUWIxVXhOa3VxQWF0bndaSEJQZDZrWENiOVdNZ05yUlJxV2FrM2tRSQ?oc=5,"Asia shares up on hopes for US rate cuts, Nvidia a hurdle Reuters",Reuters,2025-08-25 02:53:53+00:00,0.6808,Positive
superman,"'Superman' star David Corenswet's audition tape goes viral, proves why he scored the role - Entertainment Weekly",https://news.google.com/rss/articles/CBMihgFBVV95cUxPZVBoY2VpQkhKRElhTDE5Nm80Q0w0TEFzYjhSMEo1anoydHdGMzVoVGI1MGFtUndQWndSQTZLV1RZVFZ1bl9YbGlyNzFYUHNCYzJhZkNpdnlfa0NwaE9VVzY1cDZMXzNKWlNYbnBxbEkxX3hWY0RZSEFrM0YwendESnRHOFhEUQ?oc=5,"'Superman' star David Corenswet's audition tape goes viral, proves why he scored the role Entertainment Weekly",Entertainment Weekly,2025-08-24 22:57:13+00:00,0.6808,Positive
job market,BOJ's Ueda expects tightening job market to push up wages - Reuters,https://news.google.com/rss/articles/CBMipAFBVV95cUxPa29kVGExVFgxZTZ0MkE0Uzh4YUttcXA4Rlg3TVBKOXhpeFdFd3h4T3ZJeDBJQzBDUmMwMW1ZY25TX2dFQXF5NFBPMkZyY21pVWlYQ0dMYlo0djM0YzI3VHNTSC1lU0lwTnVYV1k3b01nMkNoRmczZHV1dDlXMFREcWFoVy01ZDdHb0NfOG93MzVSMVpwTGdERmxzTjVXZkRYMXExWQ?oc=5,BOJ's Ueda expects tightening job market to push up wages Reuters,Reuters,2025-08-24 21:57:53+00:00,0.0,Neutral
superman,David Corenswet’s ‘Superman’ Audition Self-Tape Goes Viral: “Just Oozes That Superman Vibe” - Yahoo News Canada,https://news.google.com/rss/articles/CBMihgFBVV95cUxNMnBQbUJadUtOOGVxZ0ROdGhBNlM4QXIyRTVtU1hIckZibERZZGJnWm9MNG90dEloa3M4eEtjRHRVbzRiSlBaMHFYanowamhuWDNIcnhfeWstN1dyVUJERTBWMW84UF9uR19ybEYyeUxUMmZWSTRPeUlwbkRuY0I2WHVfNmZvUQ?oc=5,David Corenswet’s ‘Superman’ Audition Self-Tape Goes Viral: “Just Oozes That Superman Vibe” Yahoo News Canada,Yahoo News Canada,2025-08-24 19:52:14+00:00,0.0,Neutral
job market,Employees ‘job hugging’ amid labor market uncertainty - NewsNation,https://news.google.com/rss/articles/CBMingFBVV95cUxPNGpvejBxQnBLT08yOXlic0RvQmtPSndOeE82TVhXZzlZb0pTUS0tMWpuQ2xSUHRkZ2lzZF9NYmVLcWdyMU5NMDd1MlY2b3BGdkFIbnlzV09HcjBrWFNnSHczQkdxbUt5T25vVTJHYU5NSGZRZ0NDWWRlaURfZkZYWVRwNEtJNjczOTZPSzkxZlluS3VVWEJ0TnZrUWlxZ9IBowFBVV95cUxNS1lnMDVSOHVRLUt2WUt4Q3VnY1FSelBzbmVWS3k0RS1KdjhiVFF2WU9CaVZpbzhubDdjeWxUTTY0bVN4M21HYlQtT1JLTDNGaFgxNVhZb2RMZWpfQUFBbGJQRUpBeUNiektMVnJTS0g4Sjg3dFpnNXZ3WllZNmZkaE1pYk14dG5QdlZ6REt2YXRwNEx2QXBnM0FJaDFhZ2dqNHVn?oc=5,Employees ‘job hugging’ amid labor market uncertainty NewsNation,NewsNation,2025-08-24 18:59:56+00:00,-0.5859,Negative
nvidia,"Nvidia, Alibaba, CrowdStrike, Snowflake, Inflation, and More to Watch This Week - Barron's",https://news.google.com/rss/articles/CBMitwFBVV95cUxPeWlybzQ2Ml81Rk9wdkhJM3VLZkczTmdDOHp5b1ROdW1ZMVJRZUQxQUhEbjNvR1RybUpuTm1nSEpteUw5dV9OaTh2c3FjbHphQ0lhOS0wSzNWTGJQLW1ULWZ4LUhqYTU5azIxRlNXVXpKODl4RVFabDB2OVRWNUM0N3JHRjJCUXNjYjhjdkpKbFV3eGx5OUpZclY2VXRzb0tyWFlTYk5kNVlnSUNfejhLYUxlbjR1YnM?oc=5,"Nvidia, Alibaba, CrowdStrike, Snowflake, Inflation, and More to Watch This Week Barron's",Barron's,2025-08-24 18:00:00+00:00,0.0,Neutral
nvidia,'Deeply Insulting': How US Commerce Secretary Howard Lutnick's comments on Nvidia H20 chips has angered - Times of India,https://news.google.com/rss/articles/CBMi4AJBVV95cUxQLThkeHRFanFVb2lEZ3R5NTlpSEZYV1R5clFpZUhwQ3N3QVlILTBUYi1XcXRvV2JzMnY5YUY5SkpmN1BhenpwZW9EYVFNaFAwVEV4Y1dIc0ppNmFibVJxRjFxU3pibDlmWUxldFl3WGZOb3Z3YllvZnRkRDF0N1VoWkRIeXNVYTd2T1lHUV9rRGZyRVR0XzhIMHFfZ1EwMVo0RG1fcVc0THk4SXdkdzFzcHNIc0JhLVlWSHVRd0tKUVZIYXgwalpwLVRGSXVTSmprQVJnLVNyQThqa2VfQ29LLVQ4RFpERmU4TEt3SDNFT3FuTWx6QWhfQVFJVGczWHdGaHFrOEwyR2lwR0lCcHFJSjRmT3hwcFRXN1A0LXVCTk1hSldoOUFuTU1vRXhvZGFIMDRJMmFPbi1OeEVpeVlGa3ltZ0ZwSGlSRElFbm9GQlR1Vm0zendGSWlGMVowSzNV0gHmAkFVX3lxTE8zUEFkTWQ4YXFtejQxYmlucGFMYUQ1bHhiR05MSVhBeWljODBpOVBhcE5HOVZHdkYzQ3dZQUVKVW1WVjZ2LWctQm1FaGc2UTUwazF0MFJiTUtmd0ViWTYxUlcxRk5JeDB5WFJmc2FPbk5iT2kwTFpXVTIzR0NzMURTRkk3MENjcjNWT3hpOUdEU3Jzd2k4S1FYR0RjSWs4QTBNbzAxVlRxb2xyOUtEaUhJazVMZ1VxUGVFNGhuSXA4eElicnQ5cUdHVDdjendZZDlKOF9tN1NPelp3dktKa0FvV0o4bmdaVjF2VDR6bEdIZlZHNEpwblVaTkN0ZmFldmt5X0ZHdHRhaTBqbEM4LUFVUW9vVDhlbXdFWWtCX2FwaHdjZHZ2YTRuTVVMcnA1SG9ubVZRWlBJZ1ZpdGxZdmN5V0lVSV9MZ0xDVjBHdWh5dU5zb25iS1Jhb3lWUE4zQk1JcVBUVkE?oc=5,"'Deeply Insulting': How US Commerce Secretary Howard Lutnick's comments on Nvidia H20 chips has angered Times of India Nvidia orders suppliers to halt work on China-focussed H20 AI chip, The Information says Reuters Nvidia: China Is More Of FQ2 Distraction (NASDAQ:NVDA) Seeking Alpha",Times of India,2025-08-24 17:50:00+00:00,-0.8578,Negative
nvidia,Nvidia earnings set to test AI trade with stocks near record highs: What to watch this week - Yahoo Finance,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQlNfMG9YZWR1ZVZlMjl5T1EtSkdJTVF2Y2twNjE0OEFmSFVrNXdURzctNFlxR0JvaW03Ry1iRDNjXzFMS3B0MF9HX1lKRW1XSjBSa0Z3R0txWVBxMmszTEFtal9PbHdTanZJeVVDTkxNbF9ac0tDcmtrbFFmMHlYUElsWUF3bElWMVFWeHBQSjd1amRPUmNFUVhMT0lrZ1pFZy1vQndUaDBLbEhIbDVLNDhBSjBucmtTRExkRWJ2VnpJdWJQa2RpSW1adFNoWjZaV1E?oc=5,Nvidia earnings set to test AI trade with stocks near record highs: What to watch this week Yahoo Finance Nvidia Earnings Are the Stock Market Risk Event After Fed Rally Bloomberg.com What Wall Street Analysts Think of Nvidia's Stock Ahead of Earnings Wednesday Investopedia,Yahoo Finance,2025-08-24 11:55:13+00:00,-0.2732,Negative
job market,Stagnant Job Market Is a Rising Risk for the U.S. Economy - The Wall Street Journal,https://news.google.com/rss/articles/CBMiqwNBVV95cUxNZ0p3ZFRDbGpNSk00VGRYemVaWHN5Mms1dEh5Q0tDUHNDeDc0Z0ludkNOZl9VSGl0TURpcjRma0E1N3FFZ0tNdGtwVUhhUnVVcGxRSkdPNGxzQzhFYmp2X2hVeXhxSWVETU5xYW8tMXZ2Q29HakhfOEhjQjhleGd4T20yY2p6akRTT1AwSzVpZWpQR1JDa0dHLVFzUzFsM0NnX2RkUEFEZjQzNm1RcFNQMW9naDNSUllRSC1tcVJ2S2p4NTBJVGRaS0FkSmw5ZGc0OTI3SU9MeUhLM3JmV3pyd1lDbkJmZFhMa2d1UFQwNkRqUzFYempCUWtvVzh3a0FjcE00Z3dwbDZjMWxHT2xnNWJnV0dxYTRGU1M1RFhWZlVMZ01LWlpHOHFlbEYxajhnaThXc1U3Ykk3V2p6RXRSTkc0eEMwNzNwODg1V0RiMy1FUU0wTHQ2M0hxNVVmNGdOcDNwb19jRnkxaGV4amtqRWVxbDQ0ZHI3a1VVeElvbHBDeWFnN0ctMzNvbGxOZ3pMNFVyZDRmTVlWYWQ1b2RIeFcwOUdpQnJBYm1Z?oc=5,Stagnant Job Market Is a Rising Risk for the U.S. Economy The Wall Street Journal,The Wall Street Journal,2025-08-24 01:00:00+00:00,-0.4939,Negative
